Date,Open,High,Low,Close,Adj Close,Volume
2001-10-08,48.977116,49.381813,46.450020,47.034580,19.227051,31809159
2001-10-15,46.674850,47.799004,46.584919,47.079548,19.245434,29801426
2001-10-22,46.450020,46.629887,44.111782,45.514725,18.605755,35552753
2001-10-29,45.595665,46.324116,44.066814,46.180225,18.877802,30056618
2001-11-05,46.306129,46.701832,44.579430,45.128017,18.447676,27976163
2001-11-12,44.921173,46.027340,43.788025,45.235935,18.491800,26979968
2001-11-19,45.415798,45.568684,43.877956,44.066814,18.013874,14632900
2001-11-26,43.976883,44.210709,42.178238,42.268169,17.278608,32979595
2001-12-03,42.358101,43.841984,42.223202,43.041588,17.594767,27171668
2001-12-10,42.942661,43.617153,42.178238,42.448032,17.352137,26448347
2001-12-17,42.537968,43.904938,42.403069,42.403069,17.333763,30872343
2001-12-24,42.582932,43.985874,42.268169,43.410309,17.745502,14040343
2001-12-31,43.077560,45.613651,42.672867,45.514725,18.605755,26247084
2002-01-07,45.595665,45.946400,43.482254,44.696342,18.271215,28611529
2002-01-14,44.696342,45.730560,42.349110,43.976883,18.115772,27357030
2002-01-21,43.985874,44.831238,42.088306,43.014606,17.719372,27110733
2002-01-28,42.807762,43.572189,40.586437,41.908440,17.263695,38956203
2002-02-04,42.178238,42.223202,38.688866,40.649387,16.745047,37348437
2002-02-11,40.784286,41.485760,40.226707,41.018112,16.896938,24103805
2002-02-18,40.964153,42.250183,39.750065,40.739323,16.782091,24511556
2002-02-25,41.144016,43.698093,41.009117,43.698093,18.000923,27018442
2002-03-04,43.707085,43.797016,41.647636,41.944412,17.278509,29031291
2002-03-11,41.683609,43.527222,41.503746,42.897694,17.671206,29227993
2002-03-18,42.672867,43.392323,40.946163,41.018112,16.896938,28026423
2002-03-25,41.009117,41.800522,40.928181,41.458778,17.078474,22678066
2002-04-01,40.937172,41.377838,40.478516,40.649387,16.745047,25580472
2002-04-08,40.199726,40.406570,36.782303,38.077328,15.685513,51789527
2002-04-15,37.816521,39.435303,36.962166,37.771557,15.693232,32481999
2002-04-22,37.097065,37.591690,35.523251,37.052097,15.394313,55134265
2002-04-29,36.692368,37.816521,34.731846,36.287674,15.076702,40012554
2002-05-06,36.287674,37.366859,35.073589,35.388351,14.703060,28624541
2002-05-13,35.478283,39.696106,35.406338,38.796783,16.119181,33415479
2002-05-20,38.670879,39.956909,37.807529,39.120541,16.253698,25727804
2002-05-27,39.705101,40.226707,38.446049,38.670879,16.066875,23299088
2002-06-03,38.670879,39.147518,36.224720,37.303909,15.498932,28418274
2002-06-10,37.411827,38.284168,35.523251,37.151024,15.435414,31489919
2002-06-17,37.052097,38.194237,35.325397,36.197742,15.039336,43824200
2002-06-24,35.298416,36.152775,32.825279,36.107807,15.001977,51093781
2002-07-01,35.658146,36.152775,32.735348,34.974663,14.531180,30647839
2002-07-08,35.028622,35.343384,31.485291,31.746094,13.189788,45084705
2002-07-15,30.801804,32.357632,28.328667,29.227989,12.264995,50165527
2002-07-22,27.249479,27.870012,23.391384,25.882509,10.861122,91127240
2002-07-29,26.934717,30.127312,26.557001,28.760342,12.068744,59268487
2002-08-05,28.148802,28.238735,25.387880,27.204514,11.415878,49647249
2002-08-12,26.664921,29.210003,25.900496,28.499538,11.959306,37753187
2002-08-19,28.688396,30.567980,27.843033,28.454573,11.940442,39797058
2002-08-26,28.427591,29.227989,26.512035,27.879005,11.698911,31522165
2002-09-02,27.204514,27.303438,25.810562,26.826797,11.257374,30324152
2002-09-09,26.305191,29.407854,25.810562,27.294447,11.453616,36077370
2002-09-16,27.204514,28.508532,26.206264,26.673912,11.193220,33541351
2002-09-23,26.125326,26.880756,24.893253,25.261976,10.600722,42333967
2002-09-30,24.506544,30.262211,24.056885,30.217245,12.680112,81514339
2002-10-07,29.677650,32.015888,28.103836,31.647167,13.280150,63943116
2002-10-14,31.647167,32.375618,30.810799,31.449318,13.355832,44229283
2002-10-21,31.386364,34.444061,31.143547,32.888233,13.966908,59225789
2002-10-28,33.274940,35.073589,32.438572,34.704865,14.738392,46131825
2002-11-04,35.604187,36.638409,34.003391,34.785805,14.772763,40943698
2002-11-11,34.444061,35.433315,32.915215,35.352379,15.013381,40518935
2002-11-18,35.361370,36.773308,33.733597,35.972912,15.276903,44457120
2002-11-25,35.981903,37.771557,35.649155,37.663635,15.994917,26062612
2002-12-02,37.861488,38.850742,34.417084,36.143784,15.349468,38771843
2002-12-09,35.613182,35.757072,33.868496,34.803791,14.780409,31905564
2002-12-16,35.253452,36.242706,34.686878,35.972912,15.276903,47321276
2002-12-23,35.963917,36.296665,34.857750,34.983654,14.856790,17930714
2002-12-30,35.118553,36.458546,34.533993,36.377605,15.448767,23735527
2003-01-06,37.043102,39.848991,35.658146,36.098816,15.330375,71331344
